[2026-08-02T07:28:58.413Z] GET https://docs-assets.developer.apple.com/published/88662da92338267bb64cd2275c84e484/checkmark%402x.png → pending (?ms, ?B)
[2026-08-02T07:28:58.811Z] GET https://docs-assets.developer.apple.com/published/3bdef2196e420f50c41a566422cc1e4c/carplay.svg → pending (?ms, ?B)
[2026-08-02T07:28:58.811Z] GET https://docs-assets.developer.apple.com/published/88dc6f3ae567c1430f225d6707e6602b/maps.svg → pending (?ms, ?B)
[2026-08-02T07:28:58.811Z] GET https://docs-assets.developer.apple.com/published/0fc7417f15cf064f38a83bd30dee77cf/machine-learning.svg → pending (?ms, ?B)
[2026-08-02T07:28:58.811Z] GET https://docs-assets.developer.apple.com/published/702ebb485435bf1f6e6c4e2d43edd423/mac-catalyst.svg → pending (?ms, ?B)
[2026-08-02T07:28:58.811Z] GET https://docs-assets.developer.apple.com/published/25ea28efbe5e8676fd29370fad560f75/live-photos.svg → pending (?ms, ?B)
[2026-08-02T07:28:58.811Z] GET https://docs-assets.developer.apple.com/published/d6e92e5cc61c45c389938daf49834a04/in-app-purchase.svg → pending (?ms, ?B)
[2026-08-02T07:28:58.811Z] GET https://docs-assets.developer.apple.com/published/ef6f7770a91b075a14f08932b4ab28a2/imessage-app.svg → pending (?ms, ?B)
[2026-08-02T07:28:58.811Z] GET https://docs-assets.developer.apple.com/published/d06f906d625d003fce04c3f46a88e2a0/id-verifier.svg → pending (?ms, ?B)
[2026-08-02T07:28:58.811Z] GET https://docs-assets.developer.apple.com/published/8ee482d4f70affa6bae663c8d51102d0/icloud.svg → pending (?ms, ?B)
[2026-08-02T07:28:58.811Z] GET https://docs-assets.developer.apple.com/published/73b5b486f329ea3c756fe1016fb5d9b6/homekit.svg → pending (?ms, ?B)
[2026-08-02T07:28:58.811Z] GET https://docs-assets.developer.apple.com/published/1fd95cf0bcefa3ddb3bd937167c4108e/healthkit.svg → pending (?ms, ?B)
[2026-08-02T07:28:58.811Z] GET https://docs-assets.developer.apple.com/published/953d6d049f0943017089f645f030f739/generative-ai.svg → pending (?ms, ?B)
[2026-08-02T07:28:58.811Z] GET https://docs-assets.developer.apple.com/published/1a2766daa7645cc3782710ac0977e6d5/game-center.svg → pending (?ms, ?B)
[2026-08-02T07:28:58.811Z] GET https://docs-assets.developer.apple.com/published/7a3379bd1fb861217bd79abdc0c175b9/carekit.svg → pending (?ms, ?B)
